30	000863. 三湘印象	3.87	-0.51%	2020Q1到2022Q1	218.80%	-62.41%	0.90	-	1.03	2.62%	46.85	+13.22%	房地产开发
32	000838. 财信发展	5.85	-1.18%	2020Q2到2022Q2	218.43%	-63.14%	0.35	-	6.30	-	65.15	-18.52%	房地产开发
33	000609. 中迪投资	5.49	-1.79%	2020Q1到2022Q1	218.30%	412.53%	0.01	-	2.03	-	16.73	+13.43%	房地产开发
34	000671. 阳光城	2.40	-1.23%	2020Q1到2022Q1	214.90%	-28.64%	0.31	-	0.61	15.66%	100.61	-20.53%	房地产开发
80	600692. 亚通股份	6.11	+0.33%	2020Q1到2022Q1	200.05%	500.00%	1.08	59.73	2.31	-	21.42	+4.27%	房地产开发
84	600638. 新黄浦	5.44	+0.55%	2020Q1到2022Q1	200.04%	500.00%	0.16	72.29	0.83	0.92%	36.43	-4.14%	房地产开发
95	000011. 深物业A	10.32	0.00%	2020Q1到2022Q1	174.67%	448.98%	0.04	6.14	1.36	6.59%	61.51	-6.55%	房地产开发
103	000918. 嘉凯城	2.52	-1.18%	2020Q1到2022Q1	155.72%	-43.66%	0.21	-	5.53	-	46.01	+1.20%	房地产开发
110	600094. 大名城	3.49	0.00%	2020Q2到2022Q2	139.24%	-29.43%	0.14	-	0.70	0.72%	86.39	-1.41%	房地产开发
118	601155. 新城控股	20.31	-0.25%	2020Q1到2022Q1	118.88%	85.03%	10.45	4.46	0.77	10.07%	460.25	-30.28%	房地产开发
127	000656. 金科股份	2.54	+1.60%	2020Q1到2022Q1	101.88%	302.48%	0.41	7.31	0.35	18.00%	133.49	-43.30%	房地产开发
131	000926. 福星股份	4.40	+0.46%	2020Q1到2022Q1	98.07%	-28.33%	0.28	31.64	0.37	1.16%	41.58	+3.53%	房地产开发
136	600773. 西藏城投	25.30	-0.28%	2020Q1到2022Q1	89.96%	279.80%	0.07	168.64	5.61	0.07%	207.95	-10.39%	房地产开发
144	600048. 保利发展	15.80	+0.45%	2020Q1到2022Q1	77.52%	16.62%	7.60	6.99	0.95	3.69%	1882.95	+4.66%	房地产开发
170	600510. 黑牡丹	7.58	+0.66%	2020Q1到2022Q1	50.84%	145.94%	0.05	17.48	0.83	3.05%	78.85	+4.28%	房地产开发
176	000002. 万科Ａ	16.43	-0.60%	2020Q1到2022Q1	47.94%	35.40%	12.70	8.61	0.81	7.56%	1921.68	-16.85%	房地产开发
189	002244. 滨江集团	8.71	+1.28%	2020Q1到2022Q1	39.39%	29.82%	0.49	9.48	1.29	2.63%	267.58	+91.88%	房地产开发
200	600082. 海泰发展	3.31	+0.61%	2020Q1到2022Q1	33.18%	-14.94%	0.03	-	1.22	0.30%	21.26	+9.24%	房地产开发
217	600340. 华夏幸福	2.96	-0.34%	2020Q1到2022Q1	22.49%	3.36%	1.84	-	1.27	-	116.24	-17.78%	房地产开发
222	000736. 中交地产	12.74	-0.47%	2020Q1到2022Q1	21.09%	99.36%	0.01	-	2.77	0.31%	89.02	+101.11%	房地产开发
228	600658. 电子城	4.70	+0.21%	2020Q1到2022Q1	19.13%	16.39%	0.73	-	0.77	0.32%	52.46	+14.49%	房地产开发
230	002305. 南国置业	2.40	+0.42%	2020Q1到2022Q1	18.68%	47.61%	0.64	-	1.44	-	41.45	+15.94%	房地产开发
233	600604. 市北高新	5.24	+0.38%	2020Q1到2022Q1	17.45%	19.66%	0.71	100.40	1.48	0.13%	97.79	-2.29%	房地产开发
237	000558. 莱茵体育	2.90	+1.40%	2020Q1到2022Q1	16.27%	42.16%	0.11	-	3.31	-	36.87	-24.68%	房地产开发
238	002146. 荣盛发展	2.84	-0.35%	2020Q1到2022Q1	16.23%	66.41%	9.88	-	0.32	12.28%	123.92	-34.71%	房地产开发
250	000006. 深振业Ａ	4.16	0.00%	2020Q1到2022Q1	10.63%	-23.93%	0.01	17.89	0.73	2.91%	56.16	-4.09%	房地产开发
255	600322. 天房发展	1.99	+0.51%	2020Q1到2022Q1	8.57%	13.85%	0.25	-	7.80	-	21.89	-2.93%	房地产开发
263	001979. 招商蛇口	13.45	+0.30%	2020Q1到2022Q1	6.02%	-0.27%	1.11	12.21	0.95	4.89%	1037.81	+0.82%	房地产开发
274	600325. 华发股份	8.10	+0.12%	2020Q1到2022Q1	4.23%	23.78%	5.13	5.37	0.80	5.69%	171.28	+43.00%	房地产开发
296	600606. 绿地控股	3.12	-0.64%	2020Q1到2022Q1	-0.55%	33.75%	13.48	10.42	0.48	6.89%	441.30	-20.92%	房地产开发
301	600565. 迪马股份	2.22	+0.45%	2020Q1到2022Q1	-1.05%	88.21%	0.17	-	0.66	-	56.32	-9.02%	房地产开发
